,title,director,genre,release_date,company,star_1,star_2,star_3
2295,We Did It for Love,Paul Iheanyichukwu Igwe,Drama,2022,"African Movie Channel,Whitestone Cinema",Adedayo Davies,Melvin Oduah,Mofe Okorodudu
2296,Brotherhood,Loukman Ali,Action,2022,Greoh Studios,Jide Kene Achufusi,Adetayo Adebowale,Adebowale Adedayo
2297,Gwarzon Shekara,Sunusi Oscar,Drama,2018,Rambuf Multimedia,Rashida Adam,Sadiya Adamu Kishiya,Jamilu Sani Awayman
2298,Violated,Amaka Igwe,Drama,1995,Crystal Gold,Funlola Aofiyebi,Kunle Bamtefa,Ego Boyo
2299,Trumped,Stanlee Ohikhuare,Short,2019,Mighty Jot Studios,Lucas Haddoub,Ronya Man,Brutus Richard
2300,When Star Cross,Grace Edwin-Okon,Drama,2021,"Derwin Productions,Rok Studios",Hadiza Abubakar,Oladejo Afolabi,Stephen Ajawuihe
2301,The Road Not Taken,Uche Odoputa,Drama,2017,Touch Of Sas Concept,Armani J. Armani,Mary Lazarus,Sam Obiagi
2302,Lionheart,Genevieve Nnaji,Comedy,2019,TEN,Genevieve Nnaji,Nkem Owoh,Pete Edochie
2303,Papa Joe,"Harry Dorgu,Philip Okpokoro",Comedy,2018,Lexanton Nigeria,Tony Akposeri,Ijeoma Aniebo,Ayoola Ayolola
2304,Witchdoctor of the Livingdead,Charles Abi Enonchong,Fantasy,1986,Enonchong O'Reilly Cinema Production,Joseph Layode,St. Mary Enonchong,Victor Eriabie
2305,Songs of Sorrow,Kabat Esosa Egbon,Drama,2005,"Somaco Ind.,Uche 10 Nigeria",Tunde Alabi,Sam Uche Anyamele,Pat Attah
2306,Last Offence 2,Nonso Emekaekwue,Drama,2006,Simony Productions,Rita Dominic,Mike Ezuruonye,Oge Okoye
2307,Misconception,Emmanuel Akaemeh,Drama,2016,Rok Studios,Bridget Abiodun,Melvin Adie,Zikky Alloy
2308,Last Kiss,Dickson Iroegbu,Drama,2006,Gold Pictures,Ejike Asiegbu,Ini Edo,Emeka Ike
2309,Bumper to Bumper 2,Obi Callys Obinali,Drama,2004,Valseco Industries,Sam Dede,Enebeli Elebuwa,Genevieve Nnaji
2310,The Soul That Sinneth,Lancelot Oduwa Imasuen,Action,1999,Consolidated Fortunes,Paul Adams,Gloria Anozie,Ejike Asiegbu
2311,Ex-Husband,Akin-Tijani Balogun,Romance,2019,Closer Pictures,Chika Ahamefula,Nancy-Olive Aisagbonhi,Daniel Etim Effiong
2312,Ise onise,Waheed Ijaduade,Drama,2009,Azeez Ijaduade Film,Olumide Bakare,Toyin Afolayan,Bolaji Amusan
2313,No More Love 2,Theodore Anyanji,Drama,2007,Gold Pictures,Prince Emeka Ani,Mike Ezuruonye,Ashley Nwosu
2314,Games Women Play,Lancelot Oduwa Imasuen,Drama,2005,Reemmy Jes Production (RJP),Stella Damasus,Emeka Duru,Desmond Elliot
2315,War Front 2,Teco Benson,Drama,2004,Reemmy Jes Production (RJP),Festus Aguebor,Sam Dede,Steve Eboh
2316,It's Complicated,Desmond Elliot,Romance,2021,Smarttys Productions,Esther Daniels,Emeka Darlington,Oribhabor Dickson
2317,Last Duty,Ikechukwu Odife,Drama,2005,Dubem Holdings,Ebube Nwagbo,Tony Umez,
2318,In Search of the King,Balarabe Murtala,Drama,2018,Jammaje Productions,Nafisat Abdullahi,Abdullahi Amdaz,Zainab Doulai
2319,Money Miss Road,Obi Emelonye,Action,2022,The Nollywood Factory,Jide Kene Achufusi,Josh Alfred,Charly Boy
2320,Friends & Lovers,Ebere Onwu,Drama,2005,Emmalex Associates Ltd.,Charles Awurum,Diewait Ikpechukwu,Clem Ohameze
2321,Honest Deceiver,Andy Chukwu,Drama,2009,"Meena Pictures,Onye Eze Holding Production",Ini Edo,Fatima Zanna,Justus Esiri
2322,My Grandfather's Wife,Ben Chiadika,Drama,2020,New Dawn Productions,Denyeefa David Abraham,Baaj Adebule,Adebola Adejumobi
2323,Sparrow,Afeez Abiodun,Drama,2021,Bola Majid Productions,Afeez Abiodun,Mojisola Adedeji,Oluwatoyin Akinrosoye
2324,When Love Sticks,Chidi Anyanwu Chidox,Drama,2022,Moreplex,Chike Daniel,Susan Eniolorunda,Doris Ifeka
2325,Touching Love,Tchidi Chikere,Drama,2003,Outstrip Movies Investment,Tchidi Chikere,Emeka Ike,Omotola Jalade-Ekeinde
2326,Foreign Base,MacCollins Chidebe,Comedy,2006,Ossy Affason Production,Funmi Holder,Tom Njamanze,Nkem Owoh
2327,Finding Solace,Omoruyi Wallz Efosa,Drama,2023,Sotonye Film Production,Kayode Aiyegbusi,Ray Emodi,Sotonye George
2328,Ajoji,Muhideen Oladapo,Drama,2020,Phoenix Film Productions,Femi Adebayo,Yewande Adekoya,Tunde Adeyemo
2329,Face of Greed,Omoruyi Wallz Efosa,Drama,2021,Rok Studios,Annes Anaekwe,Eucharia Anunobi Ekwu,Emma Ayalogu
2330,Wealth Apart,Ejike Chinedu Obim,Drama,2016,Divine Mobison International,Emeka Amaugoh,Esther Audu,Jibola Dabo
2331,In the Music,Chibuzor Afurobi,Musical,2015,Rising Phoenix Entertainment,Chelsea Eze,Keira Hewatch,Omawunmi Megbele
2332,Anambra Boys,Ifeanyi Azodo,Drama,2018,Magic Movies Industries,Browny Igboegwu,Adamma Luke,Ofia Afuluagu Mbaka
2333,Adeda,"Saheed Bolaji,Adebayo Tijani",Drama,2021,Corporate Pictures,Rufai Abdulahi,Bukola Adeeyo,Odunlade Adekola
2334,Tripod,Iyke Odife,Drama,2018,"Becky Movies,Rok Studios,Ruth Kadiri's Production",Esther Audu,Evar Ike,Ruth Kadiri
2335,No 1,Oladipo O'Fresh,Drama,2021,Freshpromultimedia,Iremide Adeoye,,
2336,Fortunately Ridiculous,Olutobi Odunubi,Short,2019,Penboy Production,Mike Afolarin,Sunny Andrew,Caroline Igben
2337,Dark Listed,Mike Ezuruonye,Drama,2019,"Swift Angel Productions,Rok Studios",Almighty Nnamdi Comrade,Nick Curban,Mag Dozie
2338,Smoke & Mirrors,Ehizojie Ojesebholo,Thriller,2008,"Adonis Production,Nantoons Studios",Olu Jacobs,Keppy Ekpenyong-Bassey,Bimbo Akintola
2339,Deal or No Deal,Chris Ihidero,Drama,2021,African Movie Channel,Tessy Brown,Emeka Darlington,Waliu Fagbemi
2340,Abuja Boys,Afam Okereke,Drama,2004,Great Movies Ind. Ltd.,Ejike Asiegbu,Nina Augustine,Rita Edochie
2341,Once Upon a Time,Tunde Olaoye,Drama,2015,Regnant Classics Pictures,Seun Akindele,Sani Danja,Sandra Eze
2342,Taxi Driver: Oko Ashewo,Daniel Oriahi,Comedy,2015,"FilmOne Distribution,FilmOne Production,House 5 Production",Odunlade Adekola,Ijeoma Grace Agu,Richard Akinlade
2343,Echoes of Love,Ugezu J. Ugezu,Drama,2016,Presstora Production,Ini Edo,Ken Erics,Ngozi Ezeonu
2344,Games Men Play 2,Lancelot Oduwa Imasuen,Drama,2006,Reemmy Jes Production (RJP),Dakore Akande,Chioma Chukwuka Akpotha,Monalisa Chinda
2345,Men in Trouble,Paul Omoruyi,Drama,2016,PSI Multimedia Studios,Seun Akindele,Damilola Awosemo,Prisca Iwuoha
2346,Mothers-in-Law,Chika Onu,Drama,2004,"Kidex Investment Ltd.,Kizito Anorue Film",Franca Brown,Ini Edo,Obi Madubogwu
2347,To Love a Stranger,Andy Amenechi,Drama,2005,P. Collins Productions,Eucharia Anunobi Ekwu,Colombus Arosanga,Ali Jawaid Daik
2348,Love Temple,Chike Bryan,Romance,2004,Emex International,Abdulrahman Abdulkarim,Chris Addi,Franca Aernan
2349,Final Risk,Late Ebereonwu,Drama,2007,Aka God Productions,Clarion Chukwura-Abiola,Nonso Diobi,Mike Ezuruonye
2350,KOKO: The Box TV,Kester Nsirim,Comedy,2018,80 TWO 14 Films,Michael Abalugo,Mercy Aghedo,Bimbo Akintola
2351,The Lethal Woman,Afam Beid Valucci,Drama,2008,"Bonag Industries Nigeria,R.S. Production",Yemi Blaq,Nonso Diobi,Ngozi Ezeonu
2352,Big Heart Treasure 2,Dickson Iroegbu,Drama,2007,"Advanced Pictures,Necas Movies",Bukky Ajayi,Enebeli Elebuwa,Justus Esiri
2353,Nneka the Pretty Serpent,Tosin Igho,Horror,2020,Play Network Studios,Idia Aisien,Kenneth Okolie,Onikosi Bukola Abisoye
2354,A Sunday Affair,Walter Taylaur,Romance,2023,"EbonyLife Films,EbonyLife TV",Dakore Akande,Hilda Dokubo,Eku Edewor
2355,Níbolójásí,Tajudeen Mobolaji Arotambo,Drama,2006,"Arotambo Films,Naj Investment Entertainment",Deji Adenuga,Bayo Adu,Fathia Balogun
2356,21 Days with Christ,Bond Emeruwa,Drama,2005,O'King International Ltd.,Chiwetalu Agu,Hilda Dokubo,Steve Eboh
2357,Burning Desire,John Izedonmi,Drama,2012,Bandex Films,Rahim Banda,Kofi Adjorlolo,James Gardiner
2358,Lonely Life,Felix Okoro,Drama,2006,Kidex Investment Ltd.,Benedicta Anyanwu,Pete Eneh,Amaechi Muonagor
2359,No Where to Run,Emeka Obiakonwa,Drama,2006,Dozac Global Maxima Investment,Emilia Azu,Ini Edo,Vitalis Ndubuisi
2360,We Meet Again,Osayande Onaghise,Drama,2017,Mystery House Production,Marvelous Alohan,Enabulele Austine,Obayuwana Collins
2361,A Wounded Lion Is Still A Lion,Kemi Adetiba,Crime,2021,Kemi Adetiba Visuals,Sola Sobowale,Richard Mofe-Damijo,Efa Iwara
2362,Love and Sacrifices,Christopher Okonkwo,Short,2021,Mega Brain Studio,Samuel Madu,Regina Sarki,
2363,Ògo ìdílé,Tajudeen Akinwunmi,Drama,2004,Ade Mike Films Production,Lanre Hassan,Taiwo Hassan,Bisi Ibidapo
2364,Kissing Game,Darasen Richards,Thriller,2020,Darasen Richards Films,Bimbo Ademoye,Nkem Marchie,Kenneth Nwadike
2365,Tongue,Osayande Agbontaen,Drama,2014,One John Five Four Media,Zack Orji,Tuvi James,Josephine Agbonmwanre
2366,Stay,"Desmond Anyanwu,Frederick Leonard",Drama,2022,Cineworx Entertainment,Funke Abigail Akinlagun,Christiana David,Chris Esomchi
2367,Being Single,Simon Peacemaker,Romance,2015,R. Bliss Productions,Grace-Charis Bassey,Ken Erics,Meg Otanwa
2368,Colours of Emotion,Lancelot Oduwa Imasuen,Drama,2005,P. Collins Productions,Sammy Afolabi,Stephanie Amaechi,Ifeoma Anyiam
2369,Òréré layé,Funso Adeolu,Drama,2009,Brainfield Production,Muyiwa Adegoke,Funso Adeolu,Bukky Ajayi
2370,The Weeping Tiger 2,Afam Beid Valucci,Drama,2007,Bonag Industries Nigeria,Monalisa Chinda,Hallas Ezii,Amah Ignis
2371,Love Gone Sour,Johnpaul Nwanganga,Drama,2018,Magic Movies Production,Zulu Adigwe,Chizzy Alichi,Uju Anikwe
2372,One More Kiss,Kalu Anya,Drama,2008,U. Divine Productions,Benita Ahane,Emma Ayalogu,Chidi Chijioke
2373,When Love Happens,Seyi Babatope,Romance,2014,"Futuregate Pictures,PHB Films",Shaffy Bello,Kc Ejelonu,Keppy Ekpenyong-Bassey
2374,Mr & Mrs Robert,Nwani Orire,Drama,2023,"Alo 365 Media,Metanoia Productions",Oyetola Adesanmi,Olly Agangan-Longe,Hilda Baci
2375,3 Is a Crowd,Desmond Elliot,Drama,2017,Royal Arts Academy,Tana Adelana,Chris Akwarandu,Hauwa Allahbura
2376,Oil Village,Kalu Anya,Action,2001,Hycromax Investment,Sandra Achums,Nnamdi Eze,Sam Loco Efe
2377,A Thousand Ways to Break a Cheating Man,Kayode Kasum,Comedy,2020,1959 Productions,Ray Adeka,Bimbo Ademoye,Ivy Blessing Agbo
2378,Who Cheats More,Okey Ifeanyi,Comedy,2017,"Rok Studios,Ruth Kadiri's Production",Eniola Badmus,Juliet O. Godwin,Nonso Ikechukwu
2379,Strange Soldier,Olutayo Okusanya,Drama,2022,Derek Motion Pictures,Grace-Charis Bassey,Emem Ekanem,Ifeanyi Kalu
2380,Blood Battle,Ebere Onwu,Action,2005,Lion Base International,Nonso Diobi,Justus Esiri,Ngozi Ezeonu
2381,The Ghost Pot,Akama Misodi,Fantasy,2021,"Rok Studios,Royal Arts Academy",Kolawole Abdulrahman,Kiibati Amarvi,Alex Ayalogu
2382,Dangerous Mood 2,Iyke Odife,Drama,2001,"Aka God Productions,Andy Iyke Production",Chiege Alisigwe,Ikem Chude,Maureen Solomon
2383,Ebomisi,Kabat Esosa Egbon,Drama,2018,"Rok Studios,The Scriptshop",Segun Arinze,Eloho Festus,Legemah Henry
2384,Imisi Agba,Tayo Bayo,Drama,2007,P2 Communications,Alabi Alabi,Rotimi Emmanuel,Abel Martins
2385,Rip-Off,Andy Chukwu,Drama,2005,Annex Merchandise Ltd.,Frank Briggs,Judith Chidubem,Rocky Chima
2386,Dead in Faith 2,"Henry Czar Ejeta,Ubaka Frank Ubaka",Drama,2006,Elonel International Ltd.,Adedare Adenira,Chioma Chukwuka Akpotha,Tony Umez
2387,Wife for Rent,Tissy Nnachi,Comedy,2017,"Mibi Productions,Rok Studios",Seun Akindele,Bolanle Ninalowo,Tissy Nnachi
2388,The Seed 2,Ernest Obi,Drama,2005,"Bushman Production,Okyben Investment Ltd.",Stella Damasus,Emeka Enyiocha,Chidi Mokeme
2389,The Tom & Jerry 2,Kenneth Egbuna,Comedy,2003,"Divine Touch Productions,Dubem Holdings",Ada Ameh,Osita Iheme,Chinedu Ikedieze
2390,Price of the Wicked,MacCollins Chidebe,Drama,2003,Chez International,Chiwetalu Agu,Ozo Akubueze,Chiege Alisigwe
2391,Prueba (Casting),Stanlee Ohikhuare,Short,2018,Mighty Jot Studios,Lord Frank,Crystabel Goddy,
2392,Breakfast,Okey Ifeanyi,Drama,2022,Ruth Kadiri's Production,Chris Akwarandu,Scarlet Gomez,Ruth Kadiri
2393,Heaven's Grace 2,Ifeanyi Ikpoenyi,Drama,2006,Deraco Productions,Segun Arinze,Moses Armstrong,Monalisa Chinda
2394,Omugwo,Kunle Afolayan,Drama,2017,Golden Effects,Ayo Adesanya Hassan,Bosede Akinremi,Henry Alade
2395,Final Point,Emeka Onwuamaege,Drama,2006,"Fortune Production,Kingdom-Gate Ventures",Desmond Elliot,Ngozi Ezeonu,Emeka Okoro
2396,Stronghold,Tchidi Chikere,Drama,2005,"Annex Merchandise Ltd.,Nwafor Anayo Production",Ini Edo,Jim Iyke,Tom Njamanze
2397,Forest of Tears,Ifeanyi Ogbonna,Drama,2009,Onyu Best Bright,Kofi Adjorlolo,Walter Anga,Tonto Charity Dikeh
2398,Devil's Contract,Iyke Odife,Horror,2014,Sezatti Films,Emeka Amakeze,Amanda Ebeye,Chidi Kashimawo
2399,The Golden Fish 2,Emeka Obiakonwa,Drama,2006,Dozac Global Maxima Investment,Donna Adja,Uche Chibuzo,Stephanie Chijioke
2400,Mr Ibu 2,Andy Chukwu,Comedy,2004,Kas-Vid International,John Okafor,Osita Iheme,Stephen Ahanaonu
2401,The London Boy 2,Simi Opeoluwa,Drama,2004,Andy Best Electronics,Uche Ama Abriel,Fred Amata,Segun Arinze
2402,Pastor's Blood,Amayo Uzo Philips,Drama,2006,"Chidoo Investment,Onye Eze Holding Production",Chiwetalu Agu,Esther Aikpokpoje,Izu Benz Asuzu
2403,Prideland the Musical,Ice Nweke,Musical,2022,Ice Productions Ltd.,Nneamaka Nwadei,Anuoluwapo Agosa,Eden Attai
2404,August the First,Lanre Olabisi,Drama,2007,"L Train Productions,Ugly Productions Inc.",Ian Alsup,Dennis Rubin Green,Kerisse Hutchinson
2405,Lost Wealth,Afam Okereke,Drama,2006,Samlex Electronics Company,Chiwetalu Agu,Emeka Enyiocha,Cynthia Okereke
2406,Thirty Pieces of Silver,Robert Peters,Action,2020,"Charles Granville Productions,Kingsville Media Group",Nse Ikpe-Etim,Enyinna Nwigwe,Charles Granville
2407,A Deusa Negra,Ola Balogun,Drama,1980,"Afrocult Foundation,Magnus Filmes",Jorge Coutinho,Sonia Santos,Zózimo Bulbul
2408,Unwanted,Ilochi Olisaemeka,Drama,2022,"Ebanky Global Production,Rok Studios",Elvis Abuyere,Mary Ann Apollo,Joyce Bernard
2409,Ekun Iyawo,Tope Alake,Drama,2022,Rok Studios,Folahanmi Abiodun,Tunde Adebayo,Mudashiru Ayobami
2410,Pushback,Teco Benson,Drama,2021,"Rok Studios,TFP Global Network",Kemi Adeleke,Florence Amanze,Sophiat Aronu
2411,Asife,"Muyiwa Ademola,Adebayo Tijani",Drama,2016,Hibee Pictures Limited,Femi Adebayo,Toyin Adeleke,Muyiwa Ademola
2412,Desperate Ambition 2,Osita Okoli,Drama,2006,Mike Nliam Production,Cosmas O. Abasi,Chioma Chukwuka Akpotha,Aquilla Akubo
2413,Bond,Eric Stephenson,Drama,2019,Rok Studios,Tchidi Chikere,Adaeze Eluke,Kelvin Chima Nwamazi
2414,Òwú ìyá 2,Yemi Amodu,Drama,2005,Dudu Heritage,Kareem Adepoju,Adewale Elesho,Dele Odule
2415,Iku lopin,Waheed Ijaduade,Drama,2006,Ijaduade Films,Funmi Abidemi,Odunlade Adekola,Deji Adenuga
2416,Mission to Nowhere,Teco Benson,Drama,2008,TFP Global Network,Tunde Adeyemo,Michael Amosu,Yahseph Ananaba
2417,Official Fracas,Afam Okereke,Action,2006,Samlex Electronics Company,Hayez Achu,Ebere Akosa,Stan K. Amandi
2418,My Idol 2,Tchidi Chikere,Drama,2008,Annex Merchandise Ltd.,Stan K. Amandi,Yemi Blaq,Ofia Afuluagu Mbaka
2419,Love Is in the Hair,"Emem Isong,Ansa Kpokpogri,Ayana Saunders",Comedy,2016,Royal Arts Academy,Toyin Abraham,Okey Bakasi,Micheal Bassey
2420,5 PM,Uche Chukwu,Short,2015,Blackace Raw Films,Mariana Dike,Jeremiah Hussein,
2421,Eccentric,Chris Eneaji Eneng,Thriller,2021,Rok Studios,Shammah Agah,Ayantoye Azeezat,Desmond Elliot
2422,Holy Land,Abdullahi Idum Felix,Short,2021,Lighthouse Pictures,Dumboy Booneba,Beauty Iroegbu,Precious Ragy
2423,Powerless,Yemi Morafa,Drama,2020,"Oakfil Productions,Rok Studios",Chinonso Arubayi,Benita Essien,Bolaji Ogunmola
2424,3some,Chris Eneaji Eneng,Drama,2018,Stanford Films Production,Shawn Faqua,Ik Ogbonna,Etomi Okoka
2425,Love & Hate,Effiom Effiom,Short,2019,One2films,Chioma O. Josphine,,
2426,Lean on Me 2,Ifeanyi Ikpoenyi,Drama,2003,Immortal Films,Hanks Anuku,Segun Arinze,Rita Dominic
2427,Niniola,Bogunmbe Abiola Paul,Drama,2022,"Al Notions Studio,Corporate Pictures",Lateef Adedimeji,Fisayo Amodemaja,Ademola Amoo
2428,Height of Indecision 2,Ernest Obi,Drama,2005,"Bonag Industries Nigeria,Double D Production",Emmanuel France,Amaechi Muonagor,Ernest Obi
2429,Sins of the Past,Michael Jaja,Drama,2012,Magic Movies Production,Mercy Johnson Okojie,Artus Frank,Eve Esin
2430,Be 4 the Vow,John Uche,Drama,2006,Ulzee Nigeria Ltd.,Femi Brainard,Blessing Effiom Egbe,Desmond Elliot
2431,Merry Men 2,Moses Inwang,Action,2019,"Corporate World Entertainment,FilmOne Distribution",Damilola Adegbite,Alex Asogwa,Regina Daniels
2432,The Girl Is Mine 2,Sunday Nnajiude,Drama,2005,Snude Entertainment,Hanks Anuku,Queen Nwokoye,Emeka Okoro
2433,Merry Men: The Real Yoruba Demons,Toka McBaror,Action,2018,"Corporate World Entertainment,FilmOne Distribution",Abbey Chile Abuede,Damilola Adegbite,Lilian Afegbai
2434,Payback,Tissy Nnachi,Drama,2021,Julichristar Studios,Oshim Kindness Amuche,Caz Chidiebere,Smart Jobonson
2435,Mati da Lado,Yaseen Auwal,Comedy,2014,Asmasan Pictures,Al-Amin Buhari,Tijani Faraga,Saratu Haske
2436,Espionage,Uzee Madubogwu,Drama,2016,Uche Jombo studios,Uru Eke,Alexx Ekubo,Laurel Je
2437,Royal Mission,Caz Chidiebere,Drama,2015,Magic Movies Industries,Paschaline Alex,Esther Ayi,Fred Ebere
2438,Rising Hope,Biyi Bandele,Drama,2013,"MTV Staying Alive Foundation,MTV Staying Alive Foundation",Chris Attoh,Femi Durojaiye,Timini Egbuson
2439,Lying Game,Olowajaiye Michael,Drama,2018,Jojo.P Media Concept,John Dumelo,Nazo Ekezie,Shirley Igwe
2440,Perfect Murder,Ola Shoyinka,Drama,2004,"Diamond Stone International,Jas Video Production",Jayke Aernan,Hanks Anuku,Emmanuel Armah
2441,Otondo,Izu Ojukwu,Action,2004,Sunny More Investment,Francis Duru,Emma Ehumadu,Rose Gambo
2442,Holy Diamond 3,Ifeanyi Onyeabor,Drama,2005,Global Update Pictures,Constance Daniels,Osita Iheme,Larry Koldsweat
2443,Faith in Christ,Chimdi Chiama,Drama,2004,Jb Merchandise,Fabian Adibe,Steve Eboh,Chinelo Ndigwe
2444,I Think Twice,Prince Emeka Ani,Comedy,2005,Emex International,Tony Alor,Okey Amah,Christian Ani
2445,Another Time,Sunkanmi Adebayo,Drama,2017,"Africa Magic Showcase,Closer Pictures",Chioma Chukwuka Akpotha,Timini Egbuson,Debby Felix
2446,The State [Season 3],Emeka Nnakihe,Drama,2019,"Blessed NnaPeace Production,Mountain Top Entertainment",Sam Dede,Emmanuel Ehumadu,Shan George
2447,The Date,Adeola Osunkojo,Comedy,2016,Blacreek Pictures Production,Benneth Ogbeiwi,Florence Okechukwu,Ashionye Michelle Raccah
2448,When Fishes Drown,Soji Ogunnaike,Short,2012,601 Realtime,Tana Adelana,Seun Kentebe,Wole Ojo
2449,Ikemefuna,Dimeji Ajibola,Drama,2021,"Mela Movies,Rok Studios",Somadina Adinma,Diana Akunna,Eucharia Anunobi Ekwu
2450,Fury,Kabat Esosa Egbon,Drama,2019,"Rok Studios,Scriptshop Productions",Toyin Alausa,Frankincense Eche-Ben,Kate Effiong
2451,Sade Takes Lagos,Chibuike Ibe,Comedy,2019,Deevon Films,Foluke Daramola,Cynthia Ebijie,Nkechi Emmanuel
2452,Evil Agenda 2,Emeka Obiakonwa,Drama,2007,Dozac Global Maxima Investment,Pete Edochie,John Paul Nwadike,Dauda Ogbonna
2453,Walls Closing In,Kemi Adetiba,Crime,2021,Kemi Adetiba Visuals,Sola Sobowale,IllBliss,Remilekun Reminisce Safaru
2454,The Ingrate,Andy Amenechi,Drama,2004,Samlex Electronics Company,Lilian Amah,Tunde Coker,Nonso Diobi
2455,Alasepe,Kunle Afod,Drama,2022,Blossom Royal Vision,Kunle Afod,Morenike Alausa,Yetunde Alabi Ashabi
2456,Emotional Blunder 2,Ikechukwu Onyeka,Drama,2006,Kas-Vid International,Eucharia Anunobi Ekwu,Fred Aresoma,Yvonne Jegede
2457,Sisters' Enemy 2,Theodore Anyanji,Drama,2004,Dozac Global Maxima Investment,Clarion Chukwura-Abiola,Richard Mofe-Damijo,Ashley Nwosu
2458,Wealth Aside 2,John Dunu,Drama,2007,"Genius Film,Imperial Pictures",Nonso Diobi,Enebeli Elebuwa,Yvonne Jegede
2459,A Cry for Justice,Ikenna Aniekwe,Drama,2010,Ossy Affason Production,Jackie Appiah,Mike Ezuruonye,Mercy Johnson Okojie
2460,Last True Sacrifice 2,Ernest Obi,Drama,2008,Movieworld Production,Nonso Diobi,Ramsey Nouah,Ernest Obi
2461,Dera My Beloved 2,Ifeanyi Ogbonna,Drama,2014,Sky Movies,Ugochukwu Adonu,Chiukwunwetalu Agu,Agbogidi Clemson Cornell
2462,B for Boy,Chika Anadu,Drama,2013,No Blondes Productions,Uche Nwadili,Ngozi Nwaneto,Nonso Odogwu
2463,Zoza 2,Amayo Uzo Philips,Drama,2006,Reemmy Jes Production (RJP),Chioma Chukwuka Akpotha,Gloria Anozie,Chika Anyanwu
2464,Worst Marriage,Ernest Obi,Drama,2004,Future King Productions,Frances Agochukwu,Bukky Ajayi,Frank Akhibi
2465,Three Wise Men,Patience Oghre,Comedy,2017,Opa Williams Studio,Imabong Effiong,Okwundu Ekene,Frank O. Ekwem
2466,Playing Games 2,Tade Ogidan,Drama,2004,Infinity Merchant Inc.,Uche Ama Abriel,Funso Adeolu,Lanre Balogun
2467,The CEO,Kunle Afolayan,Drama,2016,Golden Effects,Angélique Kidjo,Wale Ojo,Jimmy Jean-Louis
2468,Lonely Nights,Victor Okpala,Drama,2021,HMB Media,Gbenga Olufemi Ajala,Nzeako Favour,Ruth Garuba
2469,More Than Enough,Ozioma B. Nwughala,Drama,2021,"Dialogue Motion Pictures,Rok Studios",Pere Egbi,Eliana Eneh Ezekiel,Elsie Ezekiel
2470,Won nwa mi lame 2,Oluwole Adedeji,Drama,2005,Zentury Pictures,Kareem Adepoju,Yemi Ayebo,Toyin Majekodunmi
2471,Sideways,Tissy Nnachi,Comedy,2021,Rok Studios,Ray Emodi,Debby Emokpaire,Etinosa Idemudia
2472,Sound of Love,Charles Inojie,Drama,2006,"De-Kross Movies Production,Simony Productions",Chiwetalu Agu,Kenny Agudile,Esther Aikpokpoje
2473,Ladipo's Garden,"Temiloluwa Ami-Williams,Daniel Idiabor",Short,2021,New Wine Studios,Daniel Osungbaro,Nathalie Wuraola,
2474,The Cookie Way Out,Sophia Clement,Short,2019,Tales Hive Studios,Joan Inyan,,
2475,When Hearts Whisper,Chidi Chijioke,Romance,2022,Posh World Productions,Kayode Aiyegbusi,Austine Amechi,Onyi Dorcas
2476,Nwa Teacher,Ekenna Udo Igwe,Comedy,2003,Hallmark Films Ltd.,Olu Adejugbe,Cornu Agbogidi,Sam Ajah
2477,Wife Package,Debola A.I.,Comedy,2019,Deevon Films,Mofe Duncan,Ajah Enene,Jaiye Kuti
2478,Another Bondage 2,MacCollins Chidebe,Drama,2005,Coruma International,Link Edochie,Bruno Iwuoha,Saint Obi
2479,Dern of Africa jungle,Divine Sohwo,Short,2022,"Vivastarproduction,Vivastarproduction",Orotomaa Divine,Daniel Favorite,James Hosea
2480,Gangster Paradise,Ifeanyi Ikpoenyi,Action,2001,Cosnoris International,Grace Amah,Emma Ayalogu,Emma Ehumadu
2481,Atlanta 2,Charles Novia,Comedy,2004,"November Productions,Ulzee Nigeria Ltd.",Funke Akindele,Grace Amah,Segun Arinze
2482,Stranger Than Ever,Daniel Oriahi,Drama,2017,"House 5 Production,Rok Studios",Ijeoma Grace Agu,Grace-Charis Bassey,Rita Edward
2483,Tell Your Story,Sarl Godwins,Short,2022,Finima Pictures,Obiode Deborah,Chibuike Uruaka,
2484,True Sacrifice 2,Ernest Obi,Drama,2008,Movieworld Production,Nonso Diobi,Ramsey Nouah,Ernest Obi
2485,Indomie Lomo,Muyiwa Ademola,Drama,2004,Divine Touch Productions,Fathia Balogun,Saidi Balogun,Bisi Ibidapo
2486,Eko o'tobi 2,Jare Adeniregun,Drama,2004,Toymax Films Holding,Sikiru Adesina,Ayo Badmus,Foluke Daramola
2487,30 and Single,Okechukwu Oku,Comedy,2020,MMJoe Film Productions,Amaka Chukwujekwu,Monica Friday,Emmanuella Iloba
2488,April,Pascal Amanfo,Drama,2016,Perfect Image Studios,Onyii Alex,Paschaline Alex,Annabel Bamowie
2489,Hustler,"Michael Chineme Ike,Joseph McGee",Thriller,2020,MIC Productions,Enemmuo Adanne,Yan Baba,Nwokohuo Blessing
2490,Austerity,Sobe Charles Umeh,Drama,2020,"Moor Productions,Rok Studios",Zara Abubakar,Seun Akindele,Roxy Antak
2491,Porbeni,Biodun Stephen,Drama,2021,Rok Studios,Esther Ayopo,Sarah Ebegbe,Ebenezer Eno
2492,Broad Day Light,Teco Benson,Action,2001,Ossy Affason Production,Hanks Anuku,Ernest Asuzu,Andy Chukwu
